age,live,dead,ratio_live,ratio_dead,dead_pow,life_expectancy,sex
63,95295,344,0.99639,0.00361,0.00348,26.68,female
64,94951,371,0.9961,0.0039,0.00376,25.78,female
65,94580,399,0.99578,0.00422,0.00406,24.88,female
66,94181,434,0.99539,0.00461,0.00441,23.98,female
67,93747,475,0.99493,0.00507,0.00484,23.09,female
68,93272,521,0.99442,0.00558,0.00533,22.2,female
69,92751,569,0.99387,0.00613,0.00586,21.32,female
70,92183,627,0.99319,0.00681,0.00648,20.45,female
71,91555,690,0.99246,0.00754,0.00719,19.59,female
72,90865,754,0.9917,0.0083,0.00794,18.73,female
73,90111,826,0.99083,0.00917,0.00876,17.89,female
74,89285,905,0.98986,0.01014,0.00968,17.05,female
75,88380,996,0.98873,0.01127,0.01073,16.22,female
76,87383,1105,0.98736,0.01264,0.01198,15.4,female
77,86278,1237,0.98567,0.01433,0.01353,14.59,female
78,85042,1383,0.98374,0.01626,0.01537,13.79,female
79,83659,1550,0.98147,0.01853,0.01749,13.01,female
80,82108,1738,0.97883,0.02117,0.01998,12.25,female
81,80370,1947,0.97577,0.02423,0.02288,11.5,female
82,78423,2182,0.97217,0.02783,0.02627,10.77,female
83,76240,2448,0.96789,0.03211,0.03031,10.07,female
84,73792,2740,0.96287,0.03713,0.03511,9.38,female
85,71052,3047,0.95711,0.04289,0.04069,8.73,female
86,68005,3369,0.95046,0.04954,0.04714,8.1,female
87,64636,3701,0.94274,0.05726,0.05467,7.49,female
88,60935,4037,0.93375,0.06625,0.06353,6.91,female
89,56898,4345,0.92364,0.07636,0.07376,6.37,female
90,52553,4609,0.9123,0.0877,0.0853,5.85,female
91,47944,4844,0.89896,0.10104,0.09872,5.37,female
92,43100,5034,0.88321,0.11679,0.11487,4.92,female
93,38066,5130,0.86523,0.13477,0.13403,4.5,female
94,32936,5080,0.84576,0.15424,0.15574,4.12,female
95,27856,4884,0.82465,0.17535,0.18088,3.78,female
96,22971,4493,0.80442,0.19558,0.20496,3.48,female
97,18479,4002,0.78345,0.21655,0.23057,3.21,female
98,14477,3449,0.76173,0.23827,0.25782,2.96,female
99,11028,2875,0.7393,0.2607,0.2868,2.73,female
100,8153,2314,0.71615,0.28385,0.31763,2.53,female
101,5839,1796,0.69233,0.30767,0.35043,2.34,female
102,4042,1343,0.66786,0.33214,0.38531,2.17,female
103,2700,964,0.64278,0.35722,0.42242,2.01,female
104,1735,664,0.61713,0.38287,0.46189,1.86,female
105,1071,438,0.59097,0.40903,0.50388,1.73,female
106,633,276,0.56436,0.43564,0.54855,1.61,female
107,357,165,0.53737,0.46263,0.59606,1.5,female
108,192,94,0.51007,0.48993,0.6466,1.39,female
109,98,51,0.48255,0.51745,0.70036,1.3,female
110,47,26,0.45491,0.54509,0.75755,1.21,female
111,21,12,0.42724,0.57276,0.81838,1.13,female
112,9,6,0.39965,0.60035,0.8831,1.05,female
113,4,2,0.37226,0.62774,0.95193,0.98,female
114,1,1,0.34518,0.65482,1.02515,0.92,female
