"prefectures","value","year","sex"
"青森県","89.6",1945,"ratio"
"青森県","521",1946,"male"
"青森県","568",1946,"female"
"青森県","91.7",1946,"ratio"
"青森県","580",1947,"male"
"青森県","601",1947,"female"
"青森県","96.5",1947,"ratio"
"青森県","601.7",1948,"male"
"青森県","618.4",1948,"female"
"青森県","97.3",1948,"ratio"
"青森県","619.5",1949,"male"
"青森県","634",1949,"female"
"青森県","97.7",1949,"ratio"
"青森県","636",1950,"male"
"青森県","647",1950,"female"
"青森県","98.2",1950,"ratio"
"青森県","643",1951,"male"
"青森県","660",1951,"female"
"青森県","97.4",1951,"ratio"
"青森県","653",1952,"male"
"青森県","671",1952,"female"
"青森県","97.4",1952,"ratio"
"青森県","662",1953,"male"
"青森県","682",1953,"female"
"青森県","97",1953,"ratio"
"青森県","670",1954,"male"
"青森県","693",1954,"female"
"青森県","96.7",1954,"ratio"
"青森県","679",1955,"male"
"青森県","704",1955,"female"
"青森県","96.5",1955,"ratio"
"青森県","684",1956,"male"
"青森県","712",1956,"female"
"青森県","96.1",1956,"ratio"
"青森県","689",1957,"male"
"青森県","717",1957,"female"
"青森県","96.2",1957,"ratio"
"青森県","693",1958,"male"
"青森県","722",1958,"female"
"青森県","96",1958,"ratio"
"青森県","696",1959,"male"
"青森県","729",1959,"female"
"青森県","95.4",1959,"ratio"
"青森県","694",1960,"male"
"青森県","733",1960,"female"
"青森県","94.7",1960,"ratio"
"青森県","692",1961,"male"
"青森県","735",1961,"female"
"青森県","94.1",1961,"ratio"
"青森県","687",1962,"male"
"青森県","734",1962,"female"
"青森県","93.5",1962,"ratio"
"青森県","685",1963,"male"
"青森県","734",1963,"female"
"青森県","93.3",1963,"ratio"
"青森県","684",1964,"male"
"青森県","735",1964,"female"
"青森県","93",1964,"ratio"
"青森県","683",1965,"male"
"青森県","734",1965,"female"
"青森県","93.1",1965,"ratio"
"青森県","684",1966,"male"
"青森県","734",1966,"female"
"青森県","93.2",1966,"ratio"
"青森県","686",1967,"male"
"青森県","737",1967,"female"
"青森県","93.1",1967,"ratio"
"青森県","687",1968,"male"
"青森県","739",1968,"female"
"青森県","92.9",1968,"ratio"
"青森県","688",1969,"male"
"青森県","742",1969,"female"
"青森県","92.7",1969,"ratio"
"青森県","685",1970,"male"
"青森県","742",1970,"female"
"青森県","92.4",1970,"ratio"
"青森県","686",1971,"male"
"青森県","743",1971,"female"
"青森県","92.2",1971,"ratio"
"青森県","689",1972,"male"
"青森県","747",1972,"female"
"青森県","92.3",1972,"ratio"
"青森県","694",1973,"male"
"青森県","751",1973,"female"
"青森県","92.4",1973,"ratio"
"青森県","699",1974,"male"
"青森県","755",1974,"female"
"青森県","92.5",1974,"ratio"
"青森県","707",1975,"male"
"青森県","761",1975,"female"
"青森県","92.9",1975,"ratio"
"青森県","715",1976,"male"
"青森県","768",1976,"female"
"青森県","93.1",1976,"ratio"
"青森県","722",1977,"male"
"青森県","774",1977,"female"
"青森県","93.3",1977,"ratio"
"青森県","728",1978,"male"
"青森県","779",1978,"female"
"青森県","93.4",1978,"ratio"
"青森県","732",1979,"male"
"青森県","784",1979,"female"
"青森県","93.4",1979,"ratio"
"青森県","735",1980,"male"
"青森県","788",1980,"female"
"青森県","93.3",1980,"ratio"
"青森県","736",1981,"male"
"青森県","790",1981,"female"
"青森県","93.1",1981,"ratio"
"青森県","736",1982,"male"
"青森県","792",1982,"female"
"青森県","92.9",1982,"ratio"
"青森県","735",1983,"male"
"青森県","793",1983,"female"
"青森県","92.7",1983,"ratio"
"青森県","733",1984,"male"
"青森県","793",1984,"female"
"青森県","92.5",1984,"ratio"
"青森県","731",1985,"male"
"青森県","793",1985,"female"
"青森県","92.2",1985,"ratio"
"青森県","727",1986,"male"
"青森県","791",1986,"female"
"青森県","91.9",1986,"ratio"
"青森県","722",1987,"male"
"青森県","789",1987,"female"
"青森県","91.5",1987,"ratio"
"青森県","717",1988,"male"
"青森県","785",1988,"female"
"青森県","91.3",1988,"ratio"
"青森県","711",1989,"male"
"青森県","782",1989,"female"
"青森県","90.9",1989,"ratio"
"青森県","705",1990,"male"
"青森県","778",1990,"female"
"青森県","90.6",1990,"ratio"
"青森県","702",1991,"male"
"青森県","777",1991,"female"
"青森県","90.4",1991,"ratio"
"青森県","701",1992,"male"
"青森県","776",1992,"female"
"青森県","90.3",1992,"ratio"
"青森県","701",1993,"male"
"青森県","776",1993,"female"
"青森県","90.4",1993,"ratio"
"青森県","703",1994,"male"
"青森県","776",1994,"female"
"青森県","90.5",1994,"ratio"
"青森県","704",1995,"male"
"青森県","777",1995,"female"
"青森県","90.6",1995,"ratio"
"青森県","705",1996,"male"
"青森県","778",1996,"female"
"青森県","90.7",1996,"ratio"
"青森県","705",1997,"male"
"青森県","776",1997,"female"
"青森県","90.8",1997,"ratio"
"青森県","704",1998,"male"
"青森県","776",1998,"female"
"青森県","90.7",1998,"ratio"
"青森県","703",1999,"male"
"青森県","774",1999,"female"
"青森県","90.8",1999,"ratio"
"青森県","703",2000,"male"
"青森県","773",2000,"female"
"青森県","90.9",2000,"ratio"
"岩手県","421",1920,"male"
"岩手県","424",1920,"female"
"岩手県","99.2",1920,"ratio"
"岩手県","426",1921,"male"
"岩手県","429.3",1921,"female"
"岩手県","99.2",1921,"ratio"
"岩手県","431.1",1922,"male"
"岩手県","434",1922,"female"
"岩手県","99.3",1922,"ratio"
"岩手県","439",1923,"male"
"岩手県","441.8",1923,"female"
"岩手県","99.4",1923,"ratio"
"岩手県","442.6",1924,"male"
"岩手県","445.6",1924,"female"
"岩手県","99.3",1924,"ratio"
"岩手県","449",1925,"male"
"岩手県","452",1925,"female"
"岩手県","99.2",1925,"ratio"
"岩手県","455.6",1926,"male"
"岩手県","459.1",1926,"female"
"岩手県","99.2",1926,"ratio"
"岩手県","462.8",1927,"male"
"岩手県","465.8",1927,"female"
"岩手県","99.4",1927,"ratio"
"岩手県","469.8",1928,"male"
"岩手県","472",1928,"female"
"岩手県","99.5",1928,"ratio"
"岩手県","477.3",1929,"male"
"岩手県","479.5",1929,"female"
"岩手県","99.5",1929,"ratio"
"岩手県","487",1930,"male"
"岩手県","489",1930,"female"
"岩手県","99.6",1930,"ratio"
"岩手県","493.1",1931,"male"
"岩手県","496.2",1931,"female"
"岩手県","99.4",1931,"ratio"
"岩手県","498.5",1932,"male"
"岩手県","503.1",1932,"female"
"岩手県","99.1",1932,"ratio"
"岩手県","503.9",1933,"male"
"岩手県","509.5",1933,"female"
"岩手県","98.9",1933,"ratio"
"岩手県","511.2",1934,"male"
"岩手県","516",1934,"female"
"岩手県","99.1",1934,"ratio"
"岩手県","519",1935,"male"
"岩手県","527",1935,"female"
"岩手県","98.6",1935,"ratio"
"岩手県","526.1",1936,"male"
"岩手県","533.9",1936,"female"
"岩手県","98.5",1936,"ratio"
"岩手県","526.4",1937,"male"
"岩手県","539.7",1937,"female"
"岩手県","97.5",1937,"ratio"
"岩手県","526.8",1938,"male"
"岩手県","544.2",1938,"female"
"岩手県","96.8",1938,"ratio"
"岩手県","525.1",1939,"male"
"岩手県","546.1",1939,"female"
"岩手県","96.2",1939,"ratio"
"岩手県","527",1940,"male"
"岩手県","551",1940,"female"
"岩手県","95.5",1940,"ratio"
"岩手県","515.1",1941,"male"
"岩手県","559.9",1941,"female"
"岩手県","92",1941,"ratio"
"岩手県","517.6",1942,"male"
"岩手県","569.4",1942,"female"
"岩手県","90.9",1942,"ratio"
"岩手県","521.2",1943,"male"
"岩手県","579",1943,"female"
"岩手県","90",1943,"ratio"
"岩手県","520",1944,"male"
"岩手県","584",1944,"female"
"岩手県","89.2",1944,"ratio"
"岩手県","580",1945,"male"
"岩手県","648",1945,"female"
"岩手県","89.5",1945,"ratio"
"岩手県","581",1946,"male"
"岩手県","636",1946,"female"
"岩手県","91.4",1946,"ratio"
"岩手県","614",1947,"male"
"岩手県","649",1947,"female"
"岩手県","94.7",1947,"ratio"
"岩手県","631.9",1948,"male"
"岩手県","672.1",1948,"female"
"岩手県","94",1948,"ratio"
"岩手県","648.8",1949,"male"
